Tanggal,"Temperatur Minimum	 (°C)",Temperatur Maksimum (°C),Temperatur Rata-rata (°C),Kelembapan Rata-rata (%),Curah Hujan (mm),Lamanya Penyinaran Matahari (jam),Kecepatan Angin Maksimum (m/s),Arah Angin Saat Kecepatan Maksimum (°),Kecepatan Angin Rata-rata (m/s),Arah Angin Terbanyak (°)
01-01-2010,19,28,23,86,2.3,2.6,3,270,0,W 
02-01-2010,20,29,22.9,86,21,4.1,4,180,1,W 
03-01-2010,20,29,22.7,91,72.4,3.4,2,270,0,W 
04-01-2010,20,28.5,22.7,87,1.7,3.5,4,270,0,W 
05-01-2010,20,28.2,23,87,2.4,3,4,315,0,W 
06-01-2010,20,28,22.7,89,15.9,4.2,3,315,1,NE
07-01-2010,19,27.6,21.5,85,19,3.9,3,45,0,NE
08-01-2010,19,26,21.5,88,86,2.7,2,270,0,W 
09-01-2010,20,27.2,22.2,86,0,1.3,4,270,1,W 
10-01-2010,20,27.4,22.1,87,4.2,2.4,4,270,1,W 
11-01-2010,20,28,23.4,82,8,3,4,270,2,W 
12-01-2010,20,27,23.6,79,0,1.6,5,315,3,W 
13-01-2010,21,25.8,23.3,87,0,2,3,315,2,W 
14-01-2010,20,27.2,22.2,84,2.5,4.7,5,270,2,W 
15-01-2010,20,26.2,22.9,77,7.2,2.9,4,315,2,W 
16-01-2010,20,25.4,22,83,8888,2.5,3,270,2,W 
17-01-2010,20,27,22.4,83,1.5,4,4,315,2,W 
18-01-2010,19,28.2,23.3,75,9,8,5,315,2,NW
19-01-2010,20,25.8,21.8,90,0,1.2,3,270,0,W 
20-01-2010,20,27.5,22.6,83,11.7,2.6,3,270,0,W 
21-01-2010,20,29,23.3,83,7.5,3.9,4,270,0,W 
22-01-2010,21,29,23.2,82,5.4,5.7,6,270,1,W 
23-01-2010,20,30,23.8,80,4.3,5,4,315,0,W 
24-01-2010,20,29.6,23.6,80,1,5.6,4,270,0,W 
25-01-2010,20,28.8,23.3,78,1,4.6,4,270,0,W 
26-01-2010,21,28.4,23.9,80,8888,5.5,4,270,1,W 
27-01-2010,20,29.6,23.3,84,0.5,5.5,4,270,1,W 
28-01-2010,21,29.2,23.4,83,50.5,6.2,3,270,1,W 
29-01-2010,21,29.2,24.6,80,4.5,7.2,4,270,1,W 
30-01-2010,21,27.7,23.5,83,13.8,3.7,4,270,2,W 
31-01-2010,21,27.8,23.4,82,8888,1,2,270,0,W 
01-02-2010,21,27,23.2,84,1.8,0.5,3,270,2,W 
02-02-2010,20,28,22.8,87,19.5,1,3,315,2,W 
03-02-2010,20,28.6,23.8,82,19.5,2.9,3,270,2,W 
04-02-2010,19,27.2,23.1,90,82.4,2.9,3,90,1,W 
05-02-2010,20,28.3,22.8,88,59,3.7,3,270,2,W 
06-02-2010,20,28.4,22.8,86,11.7,3.6,3,270,2,NE
07-02-2010,20,28.5,23.2,82,20.5,5.1,4,270,2,NE
08-02-2010,20,27.2,23.7,86,0,1.5,2,270,2,W 
09-02-2010,21,27.2,22.5,92,23.8,3.4,3,270,2,W 
10-02-2010,20,28.4,23.4,84,15.5,4.8,3,270,2,W 
11-02-2010,21,27.7,23.1,90,2,2.2,2,270,2,W 
12-02-2010,21,28.6,22.5,90,47.5,2.8,2,315,1,W 
13-02-2010,21,26.7,22.4,92,64.1,3.6,3,270,2,W 
14-02-2010,20,27,21.9,89,25.4,3.6,3,225,2,W 
15-02-2010,19,29.2,23.2,88,18.2,2.8,3,270,1,W 
16-02-2010,20,27.4,23.2,86,18,1.3,2,270,2,W 
17-02-2010,20,26.2,21.9,92,30.5,2.4,4,45,2,W 
18-02-2010,21,28.8,23.6,92,8.5,3.6,4,315,2,NW
19-02-2010,21,27,23.4,86,17.2,2.5,3,270,2,W 
20-02-2010,21,28.2,23.4,85,2.8,2.7,4,315,2,W 
21-02-2010,20,28.2,23.3,85,5.5,3.9,3,270,2,W 
22-02-2010,19,29,23.7,82,20.5,6.6,4,270,2,W 
