,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"samuel matthew","2021-01-02 02:19:24",1,no,no,"First min",UCzra1SogczPr64rSIENiWCg,UgzwG_qkF_nm2aCpvmJ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzwG_qkF_nm2aCpvmJ4AaABAg
2,,"Ratna Wati","2021-01-02 02:19:34",0,no,no,"Akhirnya yg ditunggu2",UCNfIHUdUYM8sTXOAKJzQtRQ,Ugz2CITM3Fgw53I-eeF4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz2CITM3Fgw53I-eeF4AaABAg
3,,"Rifqi Andriani","2021-01-02 02:19:37",1,no,no,"Mantap yang di tunggu",UC4mPqowlQ26F8vMz75C01TA,UgxiOdCVYyo_zMFjD2B4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxiOdCVYyo_zMFjD2B4AaABAg
4,,"FERDINAND HENRY","2021-01-02 02:19:55",0,no,no,Ntaps,UCSO8rO201rqz95dECvu-T0Q,UgybfSwcYPuJtO5_LxJ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgybfSwcYPuJtO5_LxJ4AaABAg
5,,"MyDream 0403","2021-01-02 02:19:57",1,no,no,Niceee<3,UCe6hW91WYO-zYJ7PxqBqQ6w,UgxwZits_D4yPFpB6CN4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxwZits_D4yPFpB6CN4AaABAg
6,,"Azzam Syaifullah","2021-01-02 02:24:50",0,no,no,"Why not zero 4 bang jgn lupa wkwk",UCyWTYZ8Tk2xRfN6mXJ6xZfA,UgwvCBZv7ZzyQSQQuud4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwvCBZv7ZzyQSQQuud4AaABAg
7,,"AIR YOHAN","2021-01-02 02:25:19",0,no,no,"Ker3n Bro🏀 klo item bisa dipake dines",UCmm8wXD-BwPTPNX-njOJPdg,Ugwap_-2yg39l2zkYtF4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugwap_-2yg39l2zkYtF4AaABAg
8,,"Hendri Kusuma","2021-01-02 02:25:22",0,no,no,"Mantap bg..
Semangat terus buat kontennya🙏",UCGEKbqqFm0WjaE26i1EhG-g,Ugzc68T6jQcyak1a5cN4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugzc68T6jQcyak1a5cN4AaABAg
9,,"Rama Daniswara","2021-01-02 02:25:22",0,no,no,"Mantap 👍",UCkj0BN08Kz_YYRYSYxppuoQ,Ugyv33z76a34tXYF9Xl4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugyv33z76a34tXYF9Xl4AaABAg
10,,"Daniel Jensen","2021-01-02 02:25:30",1,no,no,"Kyrie 7 or curry 8",UCiVTX57bmMIAmmeL9mHRrNA,UgweFvAjye0lpQVdWRN4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgweFvAjye0lpQVdWRN4AaABAg
11,,"Rafi Fakhri","2021-01-02 02:32:47",2,no,no,"auto three terus ya min 🔥🔥🔥",UCeU_UcrqzYcsN-eo34lwLiA,UgyRAdi4qFLjHjccfKx4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyRAdi4qFLjHjccfKx4AaABAg
12,,"argans LB","2021-01-02 02:34:51",0,no,no,"Apik tenan kang",UCleBUh3lc9uatoPhpqiIihg,Ugz8f2SpecFibQoqpIF4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz8f2SpecFibQoqpIF4AaABAg
13,,"argans LB","2021-01-02 02:35:30",0,no,no,Bang,UCleBUh3lc9uatoPhpqiIihg,Ugw3YqPy2khYCja_miZ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugw3YqPy2khYCja_miZ4AaABAg
14,,"argans LB","2021-01-02 02:35:51",0,no,no,"Curry 6 or curry 8",UCleBUh3lc9uatoPhpqiIihg,UgwycOvHdAMVmDOviV14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwycOvHdAMVmDOviV14AaABAg
15,,Pateh,"2021-01-02 02:40:38",0,no,no,"Baru kemaren beli yg 7 fix lah beli lagi",UCOD36FiM6GWa8eikJm63CxQ,UgxL4qq9ng6yAf8oUKJ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxL4qq9ng6yAf8oUKJ4AaABAg
16,,"arman dani","2021-01-02 02:45:04",1,no,no,"yg minat beli gw ada nih",UCrBVZPKboZX2z4m7nyyNnPw,UgxXd5Fq366n5kAWanF4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxXd5Fq366n5kAWanF4AaABAg
17,,"Aldo Said","2021-01-02 02:49:53",0,no,no,"Kayaknya top 3 2021",UCJGO6LsbxaV0ZSxj6GU64Jw,Ugy8K43IyzG2sJ4GRYN4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugy8K43IyzG2sJ4GRYN4AaABAg
18,,"Fx Rinaldy","2021-01-02 02:52:37",1,no,no,"Tahun baru sepatu baru
Edit : 20k subs giveaway min😅",UC4InpdBqrq46g4ulN-LbaNg,UgyukYHGFvNQeMh4IOt4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyukYHGFvNQeMh4IOt4AaABAg
19,,"XZR 7","2021-01-02 02:56:06",1,no,no,"Akhirnya curry",UCoG6GGXhDhpe_l7a9gXFB3Q,Ugw3dxWfOKJ5RKXm2YZ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugw3dxWfOKJ5RKXm2YZ4AaABAg
20,,"Muhammad Rifa'i","2021-01-02 02:56:36",1,no,no,"Embiid 1",UCvYEp_-dt_qjehNwRpk81yg,UgyLpcKGguplcu8C-Hd4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyLpcKGguplcu8C-Hd4AaABAg
21,,"Rayhan Suryo","2021-01-02 03:01:07",0,no,no,"Penting buangettt",UC_uHK-nmq8pH7HJ3DFszBNg,UgzVPNwNitaocn_xvZB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzVPNwNitaocn_xvZB4AaABAg
22,,"Rama Wafi","2021-01-02 03:04:02",2,no,no,"My dream",UCWvfLEXkhhawyr7djQwh4kw,Ugw5U8aKrkZC1qaaTT14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugw5U8aKrkZC1qaaTT14AaABAg
23,,"Muhammad Haidar Yasyfin","2021-01-02 03:08:41",0,no,no,"Masuk 10 sepatu terbaik 2020 ga nih? wkwk",UC840EglNuJk1sqS2JN82ALg,UgzZZU1EjKVUOwyDhdh4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzZZU1EjKVUOwyDhdh4AaABAg
